Draw Date,Winning Numbers,Multiplier
2021-05-01,35 36 47 61 63 03,3
2021-04-24,22 36 48 59 61 22,3
2021-04-21,21 25 32 63 67 06,2
2021-04-17,10 21 26 41 49 25,2
2021-04-14,13 30 33 45 61 14,2
2021-04-10,14 16 23 50 53 03,3
2021-04-07,27 35 39 51 66 16,5
2021-04-03,01 12 17 39 53 05,2
2021-03-31,03 10 44 55 68 24,2
2021-03-27,06 14 38 39 65 06,3
2021-03-24,04 09 17 27 38 18,2
2021-03-20,01 06 22 42 61 04,3
2021-03-17,34 38 42 61 62 19,2
2021-03-13,05 11 51 56 61 02,2
2021-03-10,17 18 37 44 53 18,3
2021-03-06,11 31 50 52 58 18,4
2021-03-03,21 40 44 50 55 16,3
2021-02-27,02 28 31 44 52 18,3
2021-02-24,04 33 43 53 65 21,3
2021-02-20,04 08 22 32 58 04,10
2021-02-17,01 15 21 32 46 01,3
2021-02-13,20 28 33 63 68 20,2
2021-02-10,15 39 58 63 67 07,2
2021-02-06,01 16 48 49 65 08,2
2021-02-03,05 37 40 64 66 05,3
2021-01-30,01 02 07 52 61 04,3
2021-01-27,17 33 35 42 52 09,3
2021-01-23,05 08 17 27 28 14,3
2021-01-20,40 53 60 68 69 22,3
2021-01-16,14 20 39 65 67 02,3
2021-01-13,04 19 23 25 49 14,2
2021-01-09,14 26 38 45 46 13,2
2021-01-06,01 20 22 60 66 03,3
2021-01-02,03 04 11 41 67 05,2
2020-12-30,03 43 45 61 65 14,2
2020-12-26,10 24 27 35 53 18,2
2020-12-23,06 13 38 39 53 06,3
2020-12-19,27 32 34 43 52 13,2
2020-12-16,04 23 37 61 67 07,2
2020-12-12,17 54 56 63 69 20,2
2020-12-09,11 14 31 47 48 04,3
2020-12-05,03 04 06 48 53 10,2
2020-12-02,28 31 40 41 46 04,3
2020-11-28,08 12 18 44 51 18,2
2020-11-25,02 57 58 60 65 26,2
2020-11-21,51 54 57 60 69 11,2
2020-11-18,04 05 17 43 52 05,2
2020-11-14,07 15 18 32 45 20,2
2020-11-11,13 15 17 45 63 13,2
2020-11-07,14 16 37 48 58 18,2
2020-11-04,23 32 33 45 49 14,2
2020-10-31,02 06 40 42 55 24,3
2020-10-28,11 28 37 40 53 13,2
2020-10-24,18 20 27 45 65 06,2
2020-10-21,01 03 13 44 56 26,3
2020-10-17,06 10 31 37 44 23,2
2020-10-14,21 37 52 53 58 05,2
2020-10-10,05 18 23 40 50 18,3
2020-10-07,06 24 30 53 56 19,2
2020-10-03,18 31 36 43 47 20,2
2020-09-30,14 18 36 49 67 18,2
2020-09-26,11 21 27 36 62 24,3
2020-09-23,08 17 49 52 59 01,2
2020-09-19,11 14 23 47 57 14,4
2020-09-16,10 17 31 51 53 01,2
2020-09-12,16 17 20 53 67 04,2
2020-09-09,27 52 55 60 64 21,3
2020-09-05,15 21 22 27 47 07,2
2020-09-02,01 04 11 20 69 18,2
2020-08-29,05 21 22 29 43 10,2
2020-08-26,08 12 19 47 58 02,2
2020-08-22,19 30 36 42 66 14,3
2020-08-19,13 23 47 55 58 23,10
2020-08-15,05 12 34 45 56 03,3
2020-08-12,02 06 18 36 37 21,2
2020-08-08,02 03 14 40 51 24,3
2020-08-05,07 14 17 57 65 24,5
2020-08-01,06 25 36 43 48 24,3
2020-07-29,07 29 35 40 45 26,2
2020-07-25,05 21 36 61 62 18,2
2020-07-22,16 25 36 44 55 14,3
2020-07-18,13 16 32 58 59 09,2
2020-07-15,27 47 61 62 69 04,10
2020-07-11,14 19 61 62 64 04,2
2020-07-08,03 10 34 36 62 05,10
2020-07-04,16 21 27 60 61 06,2
2020-07-01,15 28 52 53 63 18,4
2020-06-27,09 36 49 56 62 08,2
2020-06-24,15 22 27 33 46 23,3
2020-06-20,10 31 41 63 67 05,3
2020-06-17,07 10 63 64 68 10,3
2020-06-13,02 12 32 50 65 05,3
2020-06-10,10 33 41 52 54 18,5
2020-06-06,01 17 38 68 69 18,2
2020-06-03,01 03 26 41 64 17,2
2020-05-30,13 32 41 58 60 14,2
2020-05-27,38 58 59 64 68 21,3
2020-05-23,02 08 18 21 23 16,4
2020-05-20,18 34 40 42 50 09,2
2020-05-16,08 12 26 39 42 11,2
2020-05-13,39 53 54 56 57 20,3
2020-05-09,12 18 42 48 65 19,5
2020-05-06,07 08 35 50 65 20,4
2020-05-02,13 16 33 58 68 24,5
2020-04-29,02 20 49 61 67 20,2
2020-04-25,01 03 21 47 57 18,2
2020-04-22,01 33 35 40 69 24,5
2020-04-18,04 44 46 56 63 19,2
2020-04-15,10 12 33 36 41 02,3
2020-04-11,22 29 30 42 47 17,3
2020-04-08,02 37 39 48 54 05,3
2020-04-04,08 31 39 40 43 04,3
2020-04-01,33 35 45 48 60 16,2
2020-03-28,07 40 48 55 66 11,2
2020-03-25,05 09 27 39 42 16,2
2020-03-21,02 23 40 59 69 13,2
2020-03-18,15 27 44 59 63 08,4
2020-03-14,09 23 26 30 32 08,3
2020-03-11,04 29 49 50 67 02,4
2020-03-07,07 15 21 33 62 23,2
2020-03-04,18 43 58 60 68 14,2
2020-02-29,24 44 46 50 51 13,3
2020-02-26,08 27 29 36 47 24,3
2020-02-22,25 37 39 61 62 11,3
2020-02-19,10 12 15 19 56 19,2
2020-02-15,16 32 35 36 46 03,3
2020-02-12,14 47 54 55 68 25,2
2020-02-08,35 49 50 59 66 06,2
2020-02-05,23 30 35 41 57 02,3
2020-02-01,12 33 54 57 60 13,4
2020-01-29,09 12 15 31 60 02,2
2020-01-25,02 09 17 36 67 18,2
2020-01-22,11 33 44 59 67 08,3
2020-01-18,20 24 38 56 68 18,2
2020-01-15,39 41 53 55 68 19,2
2020-01-11,03 21 23 31 59 03,2
2020-01-08,02 04 07 43 56 22,4
2020-01-04,01 11 21 25 54 07,2
2020-01-01,49 53 57 59 62 26,2
2019-12-28,20 23 39 59 60 18,2
2019-12-25,02 04 16 30 46 20,2
2019-12-21,19 31 35 50 67 14,2
2019-12-18,14 18 26 39 68 09,2
2019-12-14,03 06 12 32 64 19,3
2019-12-11,24 29 42 44 63 10,4
2019-12-07,18 42 53 62 66 25,3
2019-12-04,08 27 44 51 61 14,3
2019-11-30,15 35 42 63 68 18,4
2019-11-27,15 26 37 53 55 21,2
2019-11-23,28 35 38 61 66 23,3
2019-11-20,07 15 39 40 57 12,2
2019-11-16,14 22 26 55 63 26,3
2019-11-13,23 26 27 28 66 11,2
2019-11-09,14 17 35 38 60 25,2
2019-11-06,15 28 46 62 64 17,3
2019-11-02,03 23 32 37 58 22,2
2019-10-30,19 22 52 56 67 21,2
2019-10-26,03 20 48 54 59 04,4
2019-10-23,05 12 50 61 69 23,2
2019-10-19,14 27 29 59 65 12,2
2019-10-16,01 05 25 63 67 03,2
2019-10-12,12 29 34 53 65 23,2
2019-10-09,05 18 33 43 65 02,2
2019-10-05,06 14 36 51 54 04,2
2019-10-02,04 08 10 43 53 07,2
2019-09-28,15 23 34 51 55 04,2
2019-09-25,37 43 44 45 53 25,3
2019-09-21,01 09 22 36 68 22,2
2019-09-18,14 19 39 47 51 15,3
2019-09-14,11 27 31 36 67 11,2
2019-09-11,06 17 24 53 57 03,3
2019-09-07,11 20 41 42 56 06,2
2019-09-04,04 08 30 52 59 02,10
2019-08-31,14 41 50 56 57 18,5
2019-08-28,09 32 37 41 56 14,10
2019-08-24,05 12 20 21 47 01,2
2019-08-21,12 21 22 29 32 21,2
2019-08-17,18 21 24 30 60 20,3
2019-08-14,10 13 30 51 69 10,2
2019-08-10,35 41 44 58 59 03,3
2019-08-07,08 32 47 53 59 03,3
2019-08-03,03 06 45 66 68 13,2
2019-07-31,14 37 47 55 67 06,2
2019-07-27,01 19 31 48 61 06,2
2019-07-24,22 29 35 53 56 13,2
2019-07-20,05 26 36 64 69 19,3
2019-07-17,19 43 47 60 68 10,2
2019-07-13,13 23 32 35 68 21,3
2019-07-10,07 09 26 44 68 03,3
2019-07-06,04 08 23 46 65 01,2
2019-07-03,40 43 45 50 61 25,3
2019-06-29,13 17 24 59 62 08,2
2019-06-26,01 05 16 22 54 24,3
2019-06-22,03 06 11 14 66 21,2
2019-06-19,04 18 21 26 38 01,3
2019-06-15,08 11 14 16 49 14,3
2019-06-12,05 35 38 42 57 13,2
2019-06-08,09 13 42 48 60 18,2
2019-06-05,17 23 28 34 38 08,3
2019-06-01,06 15 34 45 52 08,2
2019-05-29,03 32 34 42 61 07,2
2019-05-25,01 02 39 43 66 02,3
2019-05-22,07 10 20 44 57 03,2
2019-05-18,02 10 25 66 67 26,4
2019-05-15,07 17 33 61 68 04,2
2019-05-11,06 08 09 37 40 26,2
2019-05-08,01 45 53 64 66 03,3
2019-05-04,06 16 23 30 61 02,2
2019-05-01,05 23 28 56 66 17,5
2019-04-27,02 29 41 45 62 06,3
2019-04-24,06 32 35 36 65 04,5
2019-04-20,03 27 30 63 65 01,3
2019-04-17,01 15 17 46 66 15,3
2019-04-13,04 17 26 32 49 10,2
2019-04-10,12 21 23 39 67 06,4
2019-04-06,15 33 43 59 60 08,3
2019-04-03,16 19 25 32 49 18,2
2019-03-30,21 52 54 64 68 04,3
2019-03-27,16 20 37 44 62 12,3
2019-03-23,24 25 52 60 66 05,3
2019-03-20,10 14 50 53 63 21,2
2019-03-16,30 34 39 53 67 11,2
2019-03-13,18 36 45 47 69 14,3
2019-03-09,05 06 45 55 59 14,3
2019-03-06,06 10 21 35 46 23,2
2019-03-02,01 19 25 27 68 21,2
2019-02-27,21 31 42 49 59 23,5
2019-02-23,04 06 14 20 32 13,2
2019-02-20,27 49 50 51 52 02,2
2019-02-16,29 30 41 48 64 01,4
2019-02-13,02 08 14 24 69 26,2
2019-02-09,01 02 03 07 39 25,3
2019-02-06,05 13 28 38 63 21,5
2019-02-02,10 17 18 43 65 13,5
2019-01-30,02 12 16 29 54 06,2
2019-01-26,08 12 20 21 32 10,4
2019-01-23,23 25 47 48 50 24,3
2019-01-19,05 08 41 65 66 20,3
2019-01-16,14 29 31 56 61 01,2
2019-01-12,07 36 48 57 58 24,2
2019-01-09,06 19 37 49 59 22,3
2019-01-05,03 07 15 27 69 19,2
2019-01-02,08 12 42 46 56 12,2
2018-12-29,12 42 51 53 62 25,2
2018-12-26,05 25 38 52 67 24,2
2018-12-22,21 28 30 40 59 26,3
2018-12-19,15 29 31 37 43 16,2
2018-12-15,08 38 43 52 55 17,3
2018-12-12,04 09 21 29 64 26,2
2018-12-08,14 32 34 46 61 10,2
2018-12-05,09 11 36 37 38 11,5
2018-12-01,10 11 47 55 58 26,2
2018-11-28,04 19 59 68 69 21,2
2018-11-24,11 33 51 56 58 18,2
2018-11-21,07 14 23 38 55 18,2
2018-11-17,06 08 20 52 68 05,2
2018-11-14,07 42 49 62 69 23,5
2018-11-10,05 29 34 53 57 24,2
2018-11-07,26 28 34 42 50 25,2
2018-11-03,15 21 24 32 65 11,3
2018-10-31,07 25 39 40 47 20,3
2018-10-27,08 12 13 19 27 04,3
2018-10-24,03 21 45 53 56 22,2
2018-10-20,16 54 57 62 69 23,2
2018-10-17,03 57 64 68 69 15,3
2018-10-13,11 14 32 43 65 15,3
2018-10-10,08 23 27 42 60 07,3
2018-10-06,01 22 27 53 67 15,3
2018-10-03,41 53 59 63 66 03,3
2018-09-29,09 17 34 59 64 22,2
2018-09-26,01 02 07 30 50 08,5
2018-09-22,24 61 63 64 69 18,5
2018-09-19,04 39 48 50 51 11,3
2018-09-15,02 18 19 24 34 03,3
2018-09-12,06 28 48 63 64 24,2
2018-09-08,03 13 20 32 33 21,3
2018-09-05,06 15 50 59 60 13,2
2018-09-01,11 54 55 61 66 09,3
2018-08-29,25 41 53 57 67 12,2
2018-08-25,20 25 54 57 63 08,2
2018-08-22,01 07 45 47 69 13,2
2018-08-18,24 34 52 61 67 16,3
2018-08-15,12 15 28 47 48 16,2
2018-08-11,05 43 56 62 68 24,2
2018-08-08,10 21 30 43 63 17,2
2018-08-04,03 11 38 44 58 02,4
2018-08-01,05 22 32 38 58 26,2
2018-07-28,22 27 46 56 65 13,2
2018-07-25,02 18 41 44 64 26,2
2018-07-21,09 23 56 58 68 01,2
2018-07-18,01 10 27 28 36 12,2
2018-07-14,22 41 42 49 67 11,3
2018-07-11,19 21 27 46 47 07,4
2018-07-07,01 10 43 45 64 22,3
2018-07-04,04 07 15 41 44 10,2
2018-06-30,03 09 20 42 61 24,2
2018-06-27,07 28 37 62 63 15,2
2018-06-23,16 29 43 45 56 25,2
2018-06-20,04 14 23 27 56 13,2
2018-06-16,09 45 57 58 65 09,2
2018-06-13,13 20 38 45 55 01,2
2018-06-09,06 10 15 25 36 14,3
2018-06-06,23 28 41 53 56 14,3
2018-06-02,23 25 37 44 64 07,4
2018-05-30,17 23 26 46 68 20,2
2018-05-26,01 21 31 45 49 21,2
2018-05-23,20 54 56 61 64 07,4
2018-05-19,03 06 09 17 56 25,3
2018-05-16,17 19 21 22 51 19,2
2018-05-12,22 42 45 55 56 14,3
2018-05-09,11 16 38 50 69 19,2
2018-05-05,14 29 36 57 61 17,4
2018-05-02,05 14 31 40 50 06,2
2018-04-28,20 22 28 45 50 08,5
2018-04-25,17 18 39 56 64 12,3
2018-04-21,40 50 54 62 69 19,2
2018-04-18,09 10 12 17 23 09,2
2018-04-14,17 19 26 61 62 15,2
2018-04-11,16 18 27 55 67 18,3
2018-04-07,02 17 20 38 39 20,2
2018-04-04,08 24 42 54 64 24,4
2018-03-31,08 24 52 55 61 21,3
2018-03-28,06 08 26 52 53 21,2
2018-03-24,10 33 45 53 56 24,3
2018-03-21,03 04 18 29 61 25,2
2018-03-17,22 57 59 60 66 07,2
2018-03-14,06 12 24 41 68 09,3
2018-03-10,43 44 54 61 69 22,3
2018-03-07,06 13 19 36 51 18,2
2018-03-03,13 17 25 36 40 05,2
2018-02-28,12 30 59 65 69 16,5
2018-02-24,24 25 38 62 63 06,2
2018-02-21,07 15 31 34 36 08,3
2018-02-17,13 26 39 44 62 02,3
2018-02-14,37 39 44 46 69 26,2
2018-02-10,01 13 27 41 59 20,5
2018-02-07,23 34 35 40 47 10,2
2018-02-03,15 23 27 48 53 06,2
2018-01-31,04 07 14 46 59 22,10
2018-01-27,17 21 26 47 54 07,2
2018-01-24,05 09 11 33 64 21,3
2018-01-20,26 28 47 49 58 03,4
2018-01-17,03 33 37 51 57 21,2
2018-01-13,14 25 35 58 69 24,2
2018-01-10,07 24 33 49 50 04,5
2018-01-06,12 61 30 29 33 26,3
2018-01-03,02 18 37 39 42 12,3
2017-12-30,28 36 41 51 58 24,2
2017-12-27,03 09 16 56 60 03,3
2017-12-23,01 03 13 15 44 25,2
2017-12-20,01 20 61 64 69 20,2
2017-12-16,09 35 37 50 63 11,2
2017-12-13,02 24 28 51 58 07,3
2017-12-09,25 36 37 55 60 06,5
2017-12-06,19 20 50 55 62 09,2
2017-12-02,28 30 32 36 58 06,3
2017-11-29,24 26 28 59 63 16,3
2017-11-25,08 13 27 53 54 04,2
2017-11-22,35 37 46 51 61 13,2
2017-11-18,17 28 31 32 39 26,3
2017-11-15,23 32 44 48 50 25,2
2017-11-11,04 06 16 30 56 18,2
2017-11-08,12 14 20 21 34 22,2
2017-11-04,12 14 26 48 51 13,3
2017-11-01,03 06 19 26 44 01,2
2017-10-28,27 35 38 57 66 10,2
2017-10-25,18 22 29 54 57 08,3
2017-10-21,14 41 42 45 69 04,2
2017-10-18,30 49 54 66 69 08,2
2017-10-14,32 37 56 66 69 11,3
2017-10-11,01 03 13 19 69 23,2
2017-10-07,10 49 61 63 65 07,2
2017-10-04,22 23 62 63 66 24,2
2017-09-30,08 12 25 41 64 15,3
2017-09-27,08 10 21 23 25 22,3
2017-09-23,24 45 55 56 57 19,2
2017-09-20,39 48 53 67 68 26,3
2017-09-16,17 18 24 25 31 24,2
2017-09-13,17 24 35 57 63 19,3
2017-09-09,06 20 29 57 59 22,2
2017-09-06,08 14 32 58 67 17,3
2017-09-02,06 21 41 52 62 26,2
2017-08-30,19 28 43 67 69 07,2
2017-08-26,07 15 32 38 66 15,2
2017-08-23,06 07 16 23 26 04,4
2017-08-19,17 19 39 43 68 13,4
2017-08-16,09 15 43 60 64 04,3
2017-08-12,20 24 26 35 49 19,2
2017-08-09,12 30 36 47 62 09,4
2017-08-05,11 21 28 33 45 11,2
2017-08-02,01 16 54 63 69 18,3
2017-07-29,01 28 40 45 48 12,2
2017-07-26,07 19 21 42 69 12,2
2017-07-22,05 32 44 53 60 09,3
2017-07-19,50 51 59 61 63 04,5
2017-07-15,09 40 63 64 66 17,2
2017-07-12,01 02 18 23 61 09,2
2017-07-08,08 10 29 40 59 26,2
2017-07-05,04 09 16 54 68 21,2
2017-07-01,19 42 45 48 53 16,3
2017-06-28,29 37 46 53 68 08,2
2017-06-24,10 22 32 36 58 10,4
2017-06-21,14 46 61 65 68 13,2
2017-06-17,10 13 32 53 62 21,2
2017-06-14,05 22 43 57 63 24,2
2017-06-07,05 21 57 66 69 13,3
2017-06-03,03 09 21 41 54 25,4
2017-05-31,04 33 39 46 60 06,2
2017-05-27,05 10 28 55 67 09,3
2017-05-24,28 32 33 38 62 15,2
2017-05-20,05 22 45 47 54 03,2
2017-05-17,04 11 39 45 48 09,3
2017-05-13,17 20 32 63 68 19,5
2017-05-10,29 31 46 56 62 08,2
2017-05-06,11 21 31 41 59 21,3
2017-05-03,17 18 49 59 66 09,2
2017-04-29,22 23 24 45 62 05,2
2017-04-26,01 15 18 26 51 26,4
2017-04-22,21 39 41 48 63 06,3
2017-04-19,01 19 37 40 52 15,3
2017-04-15,05 22 26 45 61 13,3
2017-04-12,08 14 61 63 68 24,2
2017-04-08,23 36 51 53 60 15,2
2017-04-05,08 20 46 53 54 13,2
2017-04-01,09 32 36 44 65 01,3
2017-03-29,08 15 31 36 62 11,3
2017-03-25,18 31 32 45 48 16,4
2017-03-22,02 09 27 29 42 09,2
2017-03-18,13 25 44 54 67 05,3
2017-03-15,16 30 41 48 53 16,3
2017-03-11,01 26 41 50 57 11,2
2017-03-08,23 33 42 46 59 04,2
2017-03-04,02 18 19 22 63 19,3
2017-03-01,10 16 40 52 55 17,10
2017-02-25,06 32 47 62 65 19,2
2017-02-22,10 13 28 52 61 02,2
2017-02-18,03 07 09 31 33 20,3
2017-02-15,05 28 33 38 42 19,2
2017-02-11,05 09 17 37 64 02,2
2017-02-08,14 20 42 49 66 05,2
2017-02-04,06 13 16 17 52 25,3
2017-02-01,09 43 57 60 64 10,2
2017-01-28,12 20 39 49 69 17,2
2017-01-25,18 28 62 66 68 22,2
2017-01-21,23 25 45 52 67 02,2
2017-01-18,09 40 41 53 58 12,2
2017-01-14,23 55 59 64 69 13,5
2017-01-11,01 03 13 16 43 24,2
2017-01-07,03 12 24 37 63 10,2
2017-01-04,16 17 29 41 42 04,3
2016-12-31,01 03 28 57 67 09,2
2016-12-28,16 23 30 44 58 04,2
2016-12-24,28 38 42 51 52 21,2
2016-12-21,25 33 40 54 68 03,5
2016-12-17,01 08 16 40 48 10,2
2016-12-14,18 26 37 39 66 15,3
2016-12-10,12 21 32 44 66 15,2
2016-12-07,41 48 49 53 64 20,2
2016-12-03,08 10 26 27 33 22,2
2016-11-30,03 14 18 25 45 07,2
2016-11-26,17 19 21 37 44 16,2
2016-11-23,07 32 41 47 61 03,2
2016-11-19,16 24 28 43 61 21,2
2016-11-16,28 41 61 63 65 07,2
2016-11-12,08 17 20 27 52 24,2
2016-11-09,01 25 28 31 54 02,2
2016-11-05,21 31 50 51 69 08,3
2016-11-02,13 18 37 54 61 05,2
2016-10-29,19 20 21 42 48 23,3
2016-10-26,02 03 16 48 56 24,2
2016-10-22,01 28 33 55 56 22,2
2016-10-19,10 16 38 43 63 23,2
2016-10-15,23 49 57 64 67 20,2
2016-10-12,16 30 34 37 44 16,2
2016-10-08,03 54 61 64 68 09,2
2016-10-05,08 18 27 29 60 15,2
2016-10-01,02 12 50 61 64 01,2
2016-09-28,30 38 52 53 62 01,3
2016-09-24,07 15 20 29 41 22,2
2016-09-21,01 28 63 67 69 17,4
2016-09-17,09 19 51 55 62 14,4
2016-09-14,10 11 23 28 31 14,2
2016-09-10,03 17 49 55 68 08,2
2016-09-07,22 23 29 33 55 21,2
2016-09-03,07 39 50 59 67 25,3
2016-08-31,05 10 24 56 61 12,2
2016-08-27,04 32 48 49 63 20,2
2016-08-24,09 11 25 64 65 16,3
2016-08-20,03 06 21 60 68 24,2
2016-08-17,33 44 49 50 52 08,3
2016-08-13,38 44 60 64 69 06,2
2016-08-10,23 56 61 64 67 12,5
2016-08-06,20 33 36 47 52 12,3
2016-08-03,09 11 27 66 67 02,3
2016-07-30,11 17 21 23 32 05,2
2016-07-27,10 47 50 65 68 24,2
2016-07-23,05 07 23 35 39 11,2
2016-07-20,06 25 35 58 66 05,2
2016-07-16,11 17 40 50 62 26,2
2016-07-13,03 15 29 54 57 10,3
2016-07-09,10 28 32 61 64 12,3
2016-07-06,02 24 31 57 66 18,3
2016-07-02,10 34 39 59 63 04,2
2016-06-29,23 29 37 60 64 06,2
2016-06-25,03 27 36 56 69 25,2
2016-06-22,14 40 42 43 52 17,3
2016-06-18,02 23 41 53 63 11,2
2016-06-15,04 22 24 31 33 10,2
2016-06-11,20 27 36 41 58 07,2
2016-06-08,12 25 37 60 69 20,3
2016-06-04,16 20 22 43 64 17,2
2016-06-01,23 30 33 40 69 12,5
2016-05-28,06 33 34 58 59 12,2
2016-05-25,11 24 41 59 64 15,3
2016-05-21,05 07 09 23 32 26,4
2016-05-18,23 25 39 54 67 11,3
2016-05-14,13 27 47 64 65 09,3
2016-05-11,20 32 52 66 69 23,3
2016-05-07,05 25 26 44 66 09,2
2016-05-04,30 47 57 66 69 03,3
2016-04-30,03 12 16 32 34 14,3
2016-04-27,02 25 33 39 64 17,2
2016-04-23,19 35 46 59 62 13,5
2016-04-20,12 25 30 52 62 08,3
2016-04-16,03 18 25 32 51 03,2
2016-04-13,30 33 35 38 64 22,3
2016-04-09,14 22 23 41 61 09,3
2016-04-06,04 28 49 60 65 25,2
2016-04-02,09 28 30 40 61 03,2
2016-03-30,24 44 53 55 63 19,2
2016-03-26,11 23 42 52 68 06,3
2016-03-23,05 08 15 22 49 25,3
2016-03-19,11 23 43 54 60 03,3
2016-03-16,10 12 13 46 50 21,3
2016-03-12,11 28 50 57 62 23,2
2016-03-09,14 23 32 34 68 03,3
2016-03-05,03 27 34 59 69 19,2
